iter	RMSE
0	1024672.299
1	983734.7378
2	944875.588
3	910238.6151
4	877689.7035
5	844606.9165
6	816730.6113
7	789461.0121
8	765225.2379
9	740968.0026
10	717104.572
11	695792.0112
12	676689.4906
13	657429.6625
14	638852.6907
15	623082.8035
16	608449.0069
17	593878.9947
18	580623.2956
19	568531.8828
20	557731.2432
21	547073.998
22	537213.9787
23	527784.3341
24	518749.0552
25	511251.8758
26	504033.8483
27	497042.161
28	490480.5626
29	484006.2273
30	478054.6659
31	472791.6647
32	467603.2333
33	463219.9293
34	458816.0784
35	455125.3444
36	451483.7396
37	447972.3376
38	444577.2632
39	441649.0865
40	438605.9671
41	435939.9146
42	433342.9391
43	430964.2794
44	428719.8615
45	426907.9959
46	425063.9444
47	423377.3466
48	422056.4528
49	420484.4573
50	419272.8984
51	417727.0651
52	416077.0713
53	414408.6992
54	413360.2697
55	412261.2746
56	411321.5105
57	410494.7795
58	409105.1873
59	408224.3061
60	407663.1863
61	406427.83
62	405474.6716
63	403917.3014
64	403112.1768
65	402354.1875
66	401567.7726
67	401035.5182
68	400509.0575
69	398905.1025
70	398303.5841
71	397449.8695
72	396986.603
73	396674.8739
74	396144.5009
75	395357.01
76	394874.6663
77	394344.0012
78	394042.2579
79	393574.5
80	393004.0202
81	392511.9081
82	391323.6582
83	391016.2727
84	390794.9385
85	390660.8993
86	390530.2974
87	390294.8584
88	390088.6538
89	389850.2525
90	389654.1172
91	389405.0243
92	388677.654
93	388257.1523
94	387833.752
95	387656.2544
96	386878.5641
97	386720.342
98	386366.1001
99	386219.8773
100	384955.3851
101	383924.722
102	383878.8945
103	383351.9862
104	383098.0597
105	382629.7203
106	382138.7387
107	381572.1474
108	381274.741
109	381036.3174
110	380907.328
111	380457.9754
112	380273.8512
113	380034.607
114	379648.1602
115	379176.8314
116	378256.7499
117	378024.8964
118	377906.2099
119	377652.1901
120	377538.8515
121	377183.1967
122	376846.8679
123	376724.8206
124	376469.0286
125	376312.0898
126	376095.4683
127	375965.772
128	375817.805
129	375443.3814
130	375147.4778
131	374986.18
132	374867.8933
133	374281.4105
134	374032.8758
135	373511.0332
136	373292.5088
137	373064.5556
138	372804.4263
139	372464.2795
140	372139.2659
141	371989.0945
142	371877.2477
143	371144.1306
144	370656.1765
145	370569.6493
146	370415.2222
147	370264.9482
148	369850.518
149	369531.4051
150	369100.7195
151	368818.5853
152	368641.6331
153	368475.419
154	368356.753
155	368077.6795
156	367929.5945
157	367794.5246
158	367740.3241
159	367600.1999
160	367401.1574
161	367314.1145
162	367027.5226
163	366814.0648
164	366681.324
165	366536.4337
166	366368.7934
167	366204.8005
168	366076.6901
169	365978.4138
170	365793.2627
171	365670.2616
172	365499.6452
173	365126.9093
174	364942.9374
175	364587.8187
176	364365.1916
177	364115.0595
178	363752.9807
179	363600.1094
180	363455.8807
181	363233.7442
182	363097.6054
183	362698.0772
184	362601.3967
185	362477.0569
186	362382.9179
187	362001.8037
188	361892.4106
189	361733.4826
190	361210.9218
191	361116.2355
192	360763.5478
193	360432.1305
194	360360.1692
195	360204.2833
196	360011.2854
197	359805.8252
198	359617.4393
