iter	Passed	Remaining
0	24	24896
1	38	19045
2	46	15298
3	55	13915
4	60	12005
5	69	11466
6	73	10478
7	78	9699
8	87	9620
9	92	9129
10	99	8932
11	104	8621
12	110	8360
13	115	8156
14	120	7933
15	125	7709
16	132	7678
17	138	7549
18	143	7424
19	152	7476
20	158	7372
21	167	7434
22	173	7357
23	179	7292
24	184	7188
25	188	7073
26	195	7042
27	201	6984
28	207	6949
29	214	6948
30	219	6850
31	223	6768
32	229	6714
33	233	6636
34	239	6605
35	246	6594
36	251	6555
37	257	6523
38	265	6554
39	273	6555
40	279	6543
41	285	6514
42	293	6521
43	298	6479
44	304	6468
45	311	6462
46	317	6445
47	325	6463
48	332	6449
49	340	6471
50	347	6457
51	353	6439
52	359	6429
53	366	6414
54	371	6388
55	377	6371
56	384	6362
57	390	6337
58	396	6325
59	402	6310
60	408	6290
61	414	6272
62	421	6262
63	427	6250
64	433	6241
65	440	6226
66	446	6211
67	451	6194
68	458	6180
69	464	6167
70	470	6158
71	476	6147
72	483	6135
73	489	6124
74	495	6115
75	501	6101
76	507	6082
77	513	6073
78	519	6055
79	524	6032
80	531	6033
81	536	6006
82	540	5976
83	547	5972
84	553	5955
85	558	5935
86	565	5934
87	570	5914
88	579	5933
89	584	5906
90	588	5881
91	597	5893
92	601	5869
93	607	5858
94	614	5855
95	619	5833
96	628	5852
97	633	5834
98	643	5856
99	648	5840
100	654	5824
101	661	5823
102	664	5788
103	670	5774
104	678	5782
105	683	5767
106	693	5790
107	699	5779
108	708	5794
109	713	5770
110	719	5763
111	726	5757
112	731	5739
113	737	5731
114	743	5720
115	748	5703
116	754	5696
117	759	5680
118	766	5676
119	773	5671
120	778	5653
121	786	5658
122	792	5651
123	799	5650
124	806	5645
125	813	5639
126	819	5635
127	825	5623
128	831	5615
129	837	5603
130	843	5594
131	851	5601
132	858	5594
133	867	5603
134	873	5593
135	878	5578
136	883	5567
137	889	5554
138	895	5544
139	901	5540
140	908	5533
141	914	5528
142	920	5515
143	926	5504
144	932	5496
145	938	5488
146	944	5480
147	950	5471
148	957	5466
149	962	5456
150	969	5448
151	975	5441
152	981	5436
153	988	5428
154	993	5417
155	999	5408
156	1005	5397
157	1010	5384
158	1016	5376
159	1021	5362
160	1026	5349
161	1033	5345
162	1039	5336
163	1045	5330
164	1051	5323
165	1060	5327
166	1065	5312
167	1074	5319
168	1079	5305
169	1084	5294
170	1092	5295
171	1096	5280
172	1105	5284
173	1110	5269
174	1114	5254
175	1124	5265
176	1129	5250
177	1137	5254
178	1142	5240
179	1147	5225
180	1156	5231
181	1160	5214
182	1169	5222
183	1174	5210
184	1179	5195
185	1188	5203
186	1193	5189
187	1200	5187
188	1206	5177
189	1211	5162
190	1220	5167
191	1224	5155
192	1231	5150
193	1238	5143
194	1243	5131
195	1251	5133
196	1257	5124
197	1265	5127
198	1270	5115
199	1280	5120
200	1286	5114
201	1291	5100
202	1298	5098
203	1305	5092
204	1313	5093
205	1319	5087
206	1325	5079
207	1332	5074
208	1339	5069
209	1346	5067
210	1353	5061
211	1359	5051
212	1364	5040
213	1370	5034
214	1378	5032
215	1384	5026
216	1391	5021
217	1397	5012
218	1404	5007
219	1410	5000
220	1416	4991
221	1422	4986
222	1428	4977
223	1435	4971
224	1441	4965
225	1447	4957
226	1454	4954
227	1459	4943
228	1466	4935
229	1472	4930
230	1479	4924
231	1485	4917
232	1490	4906
233	1497	4901
234	1503	4895
235	1509	4887
236	1515	4877
237	1521	4872
238	1527	4863
239	1533	4856
240	1540	4850
241	1546	4843
242	1551	4833
243	1557	4825
244	1563	4816
245	1569	4810
246	1573	4798
247	1580	4791
248	1586	4784
249	1592	4776
250	1598	4769
251	1604	4763
252	1610	4755
253	1617	4749
254	1623	4742
255	1629	4735
256	1635	4729
257	1642	4723
258	1648	4716
259	1654	4707
260	1660	4701
261	1666	4694
262	1672	4685
263	1678	4679
264	1684	4672
265	1691	4666
266	1697	4660
267	1702	4648
268	1706	4636
269	1709	4623
270	1714	4610
271	1719	4601
272	1725	4594
273	1731	4587
274	1737	4579
275	1743	4573
276	1748	4564
277	1754	4557
278	1760	4550
279	1766	4543
280	1772	4535
281	1778	4529
282	1784	4520
283	1790	4512
284	1796	4505
285	1802	4499
286	1808	4492
287	1814	4485
288	1819	4475
289	1823	4464
290	1830	4458
291	1836	4452
292	1842	4446
293	1847	4437
294	1854	4431
295	1860	4425
296	1865	4415
297	1871	4408
298	1877	4401
299	1883	4394
300	1889	4388
301	1896	4382
302	1902	4376
303	1908	4369
304	1914	4362
305	1921	4357
306	1927	4351
307	1933	4343
308	1939	4336
309	1945	4329
310	1950	4321
311	1956	4315
312	1963	4309
313	1968	4301
314	1975	4295
315	1981	4288
316	1987	4282
317	1993	4275
318	2000	4269
319	2006	4263
320	2011	4255
321	2017	4248
322	2023	4242
323	2030	4235
324	2036	4229
325	2042	4222
326	2048	4216
327	2054	4208
328	2060	4202
329	2066	4195
330	2072	4188
331	2078	4181
332	2084	4174
333	2090	4168
334	2096	4161
335	2102	4155
336	2108	4148
337	2114	4142
338	2121	4135
339	2127	4129
340	2132	4121
341	2138	4115
342	2144	4108
343	2151	4101
344	2157	4095
345	2163	4089
346	2169	4082
347	2175	4075
348	2181	4069
349	2187	4062
350	2193	4055
351	2199	4048
352	2205	4042
353	2211	4036
354	2217	4029
355	2223	4023
356	2228	4014
357	2235	4008
358	2241	4001
359	2247	3995
360	2253	3989
361	2259	3982
362	2265	3975
363	2271	3969
364	2277	3961
365	2283	3955
366	2289	3948
367	2295	3942
368	2301	3936
369	2307	3928
370	2313	3922
371	2319	3915
372	2325	3908
373	2331	3901
374	2337	3896
375	2343	3889
376	2350	3883
377	2356	3877
378	2361	3870
379	2368	3863
380	2374	3858
381	2381	3852
382	2386	3844
383	2392	3838
384	2399	3832
385	2404	3824
386	2410	3817
387	2416	3811
388	2424	3808
389	2429	3799
390	2433	3790
391	2442	3788
392	2447	3780
393	2457	3779
394	2461	3770
395	2467	3763
396	2475	3759
397	2479	3751
398	2488	3748
399	2493	3740
400	2497	3731
401	2506	3729
402	2511	3720
403	2516	3712
404	2524	3708
405	2528	3699
406	2537	3697
407	2542	3688
408	2546	3679
409	2555	3676
410	2559	3667
411	2563	3659
412	2570	3653
413	2575	3644
414	2579	3636
415	2585	3630
416	2590	3621
417	2596	3615
418	2603	3610
419	2610	3604
420	2617	3600
421	2623	3593
422	2629	3586
423	2638	3584
424	2647	3581
425	2651	3572
426	2655	3563
427	2659	3554
428	2665	3547
429	2671	3540
430	2678	3536
431	2686	3531
432	2692	3526
433	2699	3520
434	2706	3515
435	2714	3510
436	2720	3505
437	2729	3501
438	2736	3496
439	2744	3493
440	2751	3488
441	2760	3484
442	2766	3478
443	2774	3474
444	2781	3469
445	2790	3465
446	2796	3460
447	2804	3454
448	2810	3448
449	2817	3443
450	2824	3437
451	2830	3431
452	2837	3426
453	2844	3420
454	2851	3415
455	2857	3409
456	2864	3403
457	2871	3398
458	2877	3392
459	2884	3386
460	2890	3380
461	2896	3372
462	2905	3370
463	2910	3362
464	2918	3358
465	2924	3351
466	2930	3344
467	2938	3339
468	2943	3332
469	2953	3330
470	2958	3322
471	2965	3317
472	2972	3311
473	2976	3303
474	2984	3298
475	2988	3290
476	2992	3281
477	2998	3274
478	3004	3267
479	3008	3259
480	3017	3255
481	3022	3248
482	3029	3242
483	3035	3235
484	3041	3229
485	3050	3225
486	3056	3219
487	3063	3214
488	3069	3207
489	3072	3198
490	3080	3193
491	3085	3185
492	3090	3178
493	3097	3172
494	3101	3164
495	3105	3155
496	3112	3149
497	3116	3141
498	3120	3133
499	3127	3127
500	3131	3118
501	3135	3110
502	3140	3103
503	3146	3096
504	3150	3087
505	3155	3080
506	3161	3074
507	3165	3066
508	3170	3058
509	3176	3052
510	3182	3045
511	3188	3038
512	3195	3033
513	3202	3027
514	3208	3021
515	3215	3015
516	3220	3008
517	3226	3002
518	3233	2996
519	3239	2990
520	3245	2983
521	3250	2976
522	3257	2970
523	3263	2964
524	3268	2957
525	3273	2950
526	3278	2942
527	3285	2937
528	3289	2929
529	3294	2921
530	3303	2917
531	3308	2910
532	3313	2903
533	3321	2898
534	3326	2890
535	3333	2885
536	3338	2878
537	3343	2870
538	3352	2867
539	3357	2860
540	3367	2856
541	3372	2849
542	3379	2844
543	3386	2838
544	3391	2831
545	3399	2826
546	3405	2820
547	3412	2814
548	3417	2807
549	3423	2801
550	3430	2795
551	3435	2788
552	3439	2780
553	3445	2773
554	3450	2766
555	3456	2760
556	3462	2754
557	3468	2747
558	3477	2743
559	3482	2736
560	3486	2728
561	3494	2723
562	3499	2716
563	3504	2708
564	3509	2701
565	3514	2695
566	3521	2689
567	3528	2683
568	3534	2677
569	3541	2671
570	3547	2665
571	3553	2658
572	3559	2652
573	3566	2646
574	3574	2641
575	3580	2635
576	3589	2631
577	3595	2625
578	3602	2619
579	3607	2612
580	3611	2604
581	3617	2597
582	3623	2591
583	3630	2585
584	3637	2580
585	3644	2574
586	3650	2568
587	3656	2562
588	3661	2555
589	3666	2547
590	3671	2541
591	3676	2533
592	3684	2528
593	3689	2521
594	3693	2514
595	3702	2509
596	3707	2502
597	3714	2496
598	3720	2490
599	3725	2483
600	3734	2479
601	3739	2472
602	3746	2466
603	3752	2460
604	3757	2452
605	3765	2448
606	3770	2441
607	3776	2434
608	3784	2429
609	3789	2422
610	3797	2417
611	3802	2410
612	3808	2404
613	3816	2399
614	3820	2391
615	3829	2387
616	3835	2381
617	3844	2376
618	3850	2369
619	3855	2363
620	3861	2356
621	3866	2349
622	3873	2343
623	3879	2337
624	3886	2331
625	3892	2325
626	3898	2319
627	3905	2313
628	3911	2307
629	3917	2300
630	3923	2294
631	3929	2287
632	3935	2281
633	3941	2275
634	3947	2268
635	3954	2263
636	3960	2256
637	3966	2250
638	3972	2244
639	3976	2236
640	3983	2230
641	3991	2225
642	3997	2219
643	4004	2213
644	4010	2207
645	4016	2200
646	4022	2194
647	4028	2188
648	4036	2182
649	4042	2176
650	4048	2170
651	4053	2163
652	4059	2156
653	4066	2151
654	4070	2144
655	4075	2137
656	4083	2132
657	4087	2124
658	4092	2117
659	4100	2112
660	4105	2105
661	4109	2098
662	4118	2093
663	4123	2086
664	4131	2081
665	4136	2074
666	4140	2067
667	4150	2062
668	4154	2055
669	4160	2049
670	4167	2043
671	4172	2036
672	4178	2030
